date,goal,category,completed,week_label,sheet
2022-11-07,Clean (~20 min),daily,0,Week 1,Nov2022
2022-11-08,Clean (~20 min),daily,1,Week 1,Nov2022
2022-11-09,Clean (~20 min),daily,0,Week 1,Nov2022
2022-11-10,Clean (~20 min),daily,1,Week 1,Nov2022
2022-11-11,Clean (~20 min),daily,0,Week 1,Nov2022
2022-11-12,Clean (~20 min),daily,0,Week 1,Nov2022
2022-11-13,Clean (~20 min),daily,1,Week 1,Nov2022
2022-11-14,Clean (~20 min),daily,1,Week 2,Nov2022
2022-11-15,Clean (~20 min),daily,1,Week 2,Nov2022
2022-11-16,Clean (~20 min),daily,0,Week 2,Nov2022
2022-11-17,Clean (~20 min),daily,1,Week 2,Nov2022
2022-11-18,Clean (~20 min),daily,1,Week 2,Nov2022
2022-11-19,Clean (~20 min),daily,1,Week 2,Nov2022
2022-11-20,Clean (~20 min),daily,1,Week 2,Nov2022
2022-11-07,Read (~20 min),daily,0,Week 1,Nov2022
2022-11-08,Read (~20 min),daily,0,Week 1,Nov2022
2022-11-09,Read (~20 min),daily,0,Week 1,Nov2022
2022-11-10,Read (~20 min),daily,0,Week 1,Nov2022
2022-11-11,Read (~20 min),daily,0,Week 1,Nov2022
2022-11-12,Read (~20 min),daily,0,Week 1,Nov2022
2022-11-13,Read (~20 min),daily,0,Week 1,Nov2022
2022-11-14,Read (~20 min),daily,0,Week 2,Nov2022
2022-11-15,Read (~20 min),daily,0,Week 2,Nov2022
2022-11-16,Read (~20 min),daily,0,Week 2,Nov2022
2022-11-17,Read (~20 min),daily,0,Week 2,Nov2022
2022-11-18,Read (~20 min),daily,1,Week 2,Nov2022
2022-11-19,Read (~20 min),daily,1,Week 2,Nov2022
2022-11-20,Read (~20 min),daily,0,Week 2,Nov2022
2022-11-07,Vitamins,daily,1,Week 1,Nov2022
2022-11-08,Vitamins,daily,1,Week 1,Nov2022
2022-11-09,Vitamins,daily,1,Week 1,Nov2022
2022-11-10,Vitamins,daily,1,Week 1,Nov2022
2022-11-11,Vitamins,daily,1,Week 1,Nov2022
2022-11-12,Vitamins,daily,1,Week 1,Nov2022
2022-11-13,Vitamins,daily,1,Week 1,Nov2022
2022-11-14,Vitamins,daily,1,Week 2,Nov2022
2022-11-15,Vitamins,daily,1,Week 2,Nov2022
2022-11-16,Vitamins,daily,1,Week 2,Nov2022
2022-11-17,Vitamins,daily,1,Week 2,Nov2022
2022-11-18,Vitamins,daily,1,Week 2,Nov2022
2022-11-19,Vitamins,daily,1,Week 2,Nov2022
2022-11-20,Vitamins,daily,1,Week 2,Nov2022
2022-11-07,Laundry,weekly,1,Week 1,Nov2022
2022-11-14,Laundry,weekly,1,Week 2,Nov2022
2022-11-07,Cleaning,weekly,1,Week 1,Nov2022
2022-11-14,Cleaning,weekly,1,Week 2,Nov2022
2022-11-07,Grocery Shop,weekly,1,Week 1,Nov2022
2022-11-14,Grocery Shop,weekly,1,Week 2,Nov2022
2022-11-07,Meal Prep,weekly,1,Week 1,Nov2022
2022-11-14,Meal Prep,weekly,1,Week 2,Nov2022
2022-11-07,Website work (~2h),weekly,0,Week 1,Nov2022
2022-11-14,Website work (~2h),weekly,0,Week 2,Nov2022
2022-11-07,Recycling,weekly,1,Week 1,Nov2022
2022-11-14,Recycling,weekly,1,Week 2,Nov2022
2022-11-07,Trash,weekly,1,Week 1,Nov2022
2022-11-14,Trash,weekly,1,Week 2,Nov2022
2022-11-07,Shave/Trim,weekly,0,Week 1,Nov2022
2022-11-14,Shave/Trim,weekly,1,Week 2,Nov2022
2022-11-07,Water Plants,weekly,1,Week 1,Nov2022
2022-11-14,Water Plants,weekly,0,Week 2,Nov2022
2022-11-07,Weekend Exercise,weekly,0,Week 1,Nov2022
2022-11-14,Weekend Exercise,weekly,1,Week 2,Nov2022
2022-11-21,Exercise,daily,1,Week 3,Nov2022
2022-11-22,Exercise,daily,1,Week 3,Nov2022
2022-11-23,Exercise,daily,1,Week 3,Nov2022
2022-11-24,Exercise,daily,0,Week 3,Nov2022
2022-11-25,Exercise,daily,1,Week 3,Nov2022
2022-11-26,Exercise,daily,1,Week 3,Nov2022
2022-11-27,Exercise,daily,0,Week 3,Nov2022
2022-11-28,Exercise,daily,1,Week 4,Nov2022
2022-11-29,Exercise,daily,0,Week 4,Nov2022
2022-11-30,Exercise,daily,0,Week 4,Nov2022
2022-12-01,Exercise,daily,0,Week 4,Nov2022
2022-12-02,Exercise,daily,0,Week 4,Nov2022
2022-12-03,Exercise,daily,0,Week 4,Nov2022
2022-12-04,Exercise,daily,0,Week 4,Nov2022
2022-11-21,Stretch/Yoga (>20min),daily,1,Week 3,Nov2022
2022-11-22,Stretch/Yoga (>20min),daily,1,Week 3,Nov2022
2022-11-23,Stretch/Yoga (>20min),daily,0,Week 3,Nov2022
2022-11-24,Stretch/Yoga (>20min),daily,0,Week 3,Nov2022
2022-11-25,Stretch/Yoga (>20min),daily,0,Week 3,Nov2022
2022-11-26,Stretch/Yoga (>20min),daily,1,Week 3,Nov2022
2022-11-27,Stretch/Yoga (>20min),daily,0,Week 3,Nov2022
2022-11-28,Stretch/Yoga (>20min),daily,1,Week 4,Nov2022
2022-11-29,Stretch/Yoga (>20min),daily,0,Week 4,Nov2022
2022-11-30,Stretch/Yoga (>20min),daily,0,Week 4,Nov2022
2022-12-01,Stretch/Yoga (>20min),daily,0,Week 4,Nov2022
2022-12-02,Stretch/Yoga (>20min),daily,0,Week 4,Nov2022
2022-12-03,Stretch/Yoga (>20min),daily,0,Week 4,Nov2022
2022-12-04,Stretch/Yoga (>20min),daily,0,Week 4,Nov2022
2022-11-21,Social Media (<Limit),daily,1,Week 3,Nov2022
2022-11-22,Social Media (<Limit),daily,1,Week 3,Nov2022
2022-11-23,Social Media (<Limit),daily,1,Week 3,Nov2022
2022-11-24,Social Media (<Limit),daily,1,Week 3,Nov2022
2022-11-25,Social Media (<Limit),daily,1,Week 3,Nov2022
2022-11-26,Social Media (<Limit),daily,1,Week 3,Nov2022
2022-11-27,Social Media (<Limit),daily,1,Week 3,Nov2022
2022-11-28,Social Media (<Limit),daily,1,Week 4,Nov2022
2022-11-29,Social Media (<Limit),daily,1,Week 4,Nov2022
2022-11-30,Social Media (<Limit),daily,1,Week 4,Nov2022
2022-12-01,Social Media (<Limit),daily,1,Week 4,Nov2022
2022-12-02,Social Media (<Limit),daily,1,Week 4,Nov2022
2022-12-03,Social Media (<Limit),daily,1,Week 4,Nov2022
2022-12-04,Social Media (<Limit),daily,1,Week 4,Nov2022
2022-11-21,Eat in,daily,1,Week 3,Nov2022
2022-11-22,Eat in,daily,1,Week 3,Nov2022
2022-11-23,Eat in,daily,1,Week 3,Nov2022
2022-11-24,Eat in,daily,1,Week 3,Nov2022
2022-11-25,Eat in,daily,1,Week 3,Nov2022
2022-11-26,Eat in,daily,1,Week 3,Nov2022
2022-11-27,Eat in,daily,1,Week 3,Nov2022
2022-11-28,Eat in,daily,1,Week 4,Nov2022
2022-11-29,Eat in,daily,1,Week 4,Nov2022
2022-11-30,Eat in,daily,1,Week 4,Nov2022
2022-12-01,Eat in,daily,1,Week 4,Nov2022
2022-12-02,Eat in,daily,1,Week 4,Nov2022
2022-12-03,Eat in,daily,0,Week 4,Nov2022
2022-12-04,Eat in,daily,1,Week 4,Nov2022
2022-11-21,Review Budget/Goals,daily,1,Week 3,Nov2022
2022-11-22,Review Budget/Goals,daily,1,Week 3,Nov2022
2022-11-23,Review Budget/Goals,daily,1,Week 3,Nov2022
2022-11-24,Review Budget/Goals,daily,1,Week 3,Nov2022
2022-11-25,Review Budget/Goals,daily,1,Week 3,Nov2022
2022-11-26,Review Budget/Goals,daily,1,Week 3,Nov2022
2022-11-27,Review Budget/Goals,daily,1,Week 3,Nov2022
2022-11-28,Review Budget/Goals,daily,1,Week 4,Nov2022
2022-11-29,Review Budget/Goals,daily,1,Week 4,Nov2022
2022-11-30,Review Budget/Goals,daily,1,Week 4,Nov2022
2022-12-01,Review Budget/Goals,daily,1,Week 4,Nov2022
2022-12-02,Review Budget/Goals,daily,1,Week 4,Nov2022
2022-12-03,Review Budget/Goals,daily,1,Week 4,Nov2022
2022-12-04,Review Budget/Goals,daily,1,Week 4,Nov2022
2022-11-21,Brush Teeth (>=2),daily,1,Week 3,Nov2022
2022-11-22,Brush Teeth (>=2),daily,1,Week 3,Nov2022
2022-11-23,Brush Teeth (>=2),daily,1,Week 3,Nov2022
2022-11-24,Brush Teeth (>=2),daily,1,Week 3,Nov2022
2022-11-25,Brush Teeth (>=2),daily,1,Week 3,Nov2022
2022-11-26,Brush Teeth (>=2),daily,1,Week 3,Nov2022
2022-11-27,Brush Teeth (>=2),daily,1,Week 3,Nov2022
2022-11-28,(2x)Brush+(1x)Floss,daily,1,Week 4,Nov2022
2022-11-29,(2x)Brush+(1x)Floss,daily,0,Week 4,Nov2022
2022-11-30,(2x)Brush+(1x)Floss,daily,0,Week 4,Nov2022
2022-12-01,(2x)Brush+(1x)Floss,daily,0,Week 4,Nov2022
2022-12-02,(2x)Brush+(1x)Floss,daily,0,Week 4,Nov2022
2022-12-03,(2x)Brush+(1x)Floss,daily,1,Week 4,Nov2022
2022-12-04,(2x)Brush+(1x)Floss,daily,1,Week 4,Nov2022
2022-11-21,Water (>2.25),daily,1,Week 3,Nov2022
2022-11-22,Water (>2.25),daily,1,Week 3,Nov2022
2022-11-23,Water (>2.25),daily,0,Week 3,Nov2022
2022-11-24,Water (>2.25),daily,0,Week 3,Nov2022
2022-11-25,Water (>2.25),daily,0,Week 3,Nov2022
2022-11-26,Water (>2.25),daily,1,Week 3,Nov2022
2022-11-27,Water (>2.25),daily,1,Week 3,Nov2022
2022-11-28,Water (>2.25),daily,1,Week 4,Nov2022
2022-11-29,Water (>2.25),daily,0,Week 4,Nov2022
2022-11-30,Water (>2.25),daily,0,Week 4,Nov2022
2022-12-01,Water (>2.25),daily,0,Week 4,Nov2022
2022-12-02,Water (>2.25),daily,0,Week 4,Nov2022
2022-12-03,Water (>2.25),daily,0,Week 4,Nov2022
2022-12-04,Water (>2.25),daily,0,Week 4,Nov2022
2022-11-21,7 hours sleep,daily,1,Week 3,Nov2022
2022-11-22,7 hours sleep,daily,1,Week 3,Nov2022
2022-11-23,7 hours sleep,daily,0,Week 3,Nov2022
2022-11-24,7 hours sleep,daily,1,Week 3,Nov2022
2022-11-25,7 hours sleep,daily,1,Week 3,Nov2022
2022-11-26,7 hours sleep,daily,0,Week 3,Nov2022
2022-11-27,7 hours sleep,daily,1,Week 3,Nov2022
2022-11-28,7 hours sleep,daily,1,Week 4,Nov2022
2022-11-29,7 hours sleep,daily,0,Week 4,Nov2022
2022-11-30,7 hours sleep,daily,1,Week 4,Nov2022
2022-12-01,7 hours sleep,daily,1,Week 4,Nov2022
2022-12-02,7 hours sleep,daily,1,Week 4,Nov2022
2022-12-03,7 hours sleep,daily,1,Week 4,Nov2022
2022-12-04,7 hours sleep,daily,0,Week 4,Nov2022
2022-11-21,Clean (~20 min),daily,1,Week 3,Nov2022
2022-11-22,Clean (~20 min),daily,1,Week 3,Nov2022
2022-11-23,Clean (~20 min),daily,0,Week 3,Nov2022
2022-11-24,Clean (~20 min),daily,1,Week 3,Nov2022
2022-11-25,Clean (~20 min),daily,1,Week 3,Nov2022
2022-11-26,Clean (~20 min),daily,1,Week 3,Nov2022
2022-11-27,Clean (~20 min),daily,0,Week 3,Nov2022
2022-11-28,Clean (~20 min),daily,1,Week 4,Nov2022
2022-11-29,Clean (~20 min),daily,0,Week 4,Nov2022
2022-11-30,Clean (~20 min),daily,0,Week 4,Nov2022
2022-12-01,Clean (~20 min),daily,0,Week 4,Nov2022
2022-12-02,Clean (~20 min),daily,1,Week 4,Nov2022
2022-12-03,Clean (~20 min),daily,1,Week 4,Nov2022
2022-12-04,Clean (~20 min),daily,0,Week 4,Nov2022
2022-11-21,Read (~20 min),daily,1,Week 3,Nov2022
2022-11-22,Read (~20 min),daily,1,Week 3,Nov2022
2022-11-23,Read (~20 min),daily,0,Week 3,Nov2022
2022-11-24,Read (~20 min),daily,0,Week 3,Nov2022
2022-11-25,Read (~20 min),daily,0,Week 3,Nov2022
2022-11-26,Read (~20 min),daily,1,Week 3,Nov2022
2022-11-27,Read (~20 min),daily,0,Week 3,Nov2022
2022-11-28,Read (~20 min),daily,0,Week 4,Nov2022
2022-11-29,Read (~20 min),daily,0,Week 4,Nov2022
2022-11-30,Read (~20 min),daily,0,Week 4,Nov2022
2022-12-01,Read (~20 min),daily,0,Week 4,Nov2022
2022-12-02,Read (~20 min),daily,1,Week 4,Nov2022
2022-12-03,Read (~20 min),daily,0,Week 4,Nov2022
2022-12-04,Read (~20 min),daily,0,Week 4,Nov2022
2022-11-21,Vitamins,daily,1,Week 3,Nov2022
2022-11-22,Vitamins,daily,1,Week 3,Nov2022
2022-11-23,Vitamins,daily,1,Week 3,Nov2022
2022-11-24,Vitamins,daily,1,Week 3,Nov2022
2022-11-25,Vitamins,daily,1,Week 3,Nov2022
2022-11-26,Vitamins,daily,1,Week 3,Nov2022
2022-11-27,Vitamins,daily,1,Week 3,Nov2022
2022-11-28,Vitamins,daily,1,Week 4,Nov2022
2022-11-29,Vitamins,daily,1,Week 4,Nov2022
2022-11-30,Vitamins,daily,0,Week 4,Nov2022
2022-12-01,Vitamins,daily,0,Week 4,Nov2022
2022-12-02,Vitamins,daily,0,Week 4,Nov2022
2022-12-03,Vitamins,daily,1,Week 4,Nov2022
2022-12-04,Vitamins,daily,1,Week 4,Nov2022
2022-11-21,Laundry,weekly,1,Week 3,Nov2022
2022-11-28,Laundry,weekly,1,Week 4,Nov2022
2022-11-21,Cleaning,weekly,1,Week 3,Nov2022
2022-11-28,Cleaning,weekly,1,Week 4,Nov2022
2022-11-21,Grocery Shop,weekly,1,Week 3,Nov2022
2022-11-28,Grocery Shop,weekly,1,Week 4,Nov2022
2022-11-21,Meal Prep,weekly,1,Week 3,Nov2022
2022-11-28,Meal Prep,weekly,1,Week 4,Nov2022
2022-11-21,Website work (~2h),weekly,0,Week 3,Nov2022
2022-11-28,Website work (~2h),weekly,0,Week 4,Nov2022
2022-11-21,Recycling,weekly,1,Week 3,Nov2022
2022-11-28,Recycling,weekly,1,Week 4,Nov2022
2022-11-21,Trash,weekly,1,Week 3,Nov2022
2022-11-28,Trash,weekly,1,Week 4,Nov2022
2022-11-21,Shave/Trim,weekly,1,Week 3,Nov2022
2022-11-28,Shave/Trim,weekly,1,Week 4,Nov2022
2022-11-21,Water Plants,weekly,1,Week 3,Nov2022
2022-11-28,Water Plants,weekly,1,Week 4,Nov2022
2022-11-21,Weekend Exercise,weekly,1,Week 3,Nov2022
2022-11-28,Weekend Exercise,weekly,0,Week 4,Nov2022
2022-11-01,Wash Sheets,monthly,1,,Nov2022
2022-11-01,Savings Deposit,monthly,1,,Nov2022
2022-11-01,Loan Payment,monthly,1,,Nov2022
2022-11-01,Wash mats,monthly,1,,Nov2022
2022-12-05,Exercise,daily,1,Week 1,Dec2022
2022-12-06,Exercise,daily,1,Week 1,Dec2022
2022-12-07,Exercise,daily,1,Week 1,Dec2022
2022-12-08,Exercise,daily,0,Week 1,Dec2022
2022-12-09,Exercise,daily,1,Week 1,Dec2022
2022-12-10,Exercise,daily,0,Week 1,Dec2022
2022-12-11,Exercise,daily,0,Week 1,Dec2022
2022-12-12,Exercise,daily,0,Week 2,Dec2022
2022-12-13,Exercise,daily,1,Week 2,Dec2022
2022-12-14,Exercise,daily,1,Week 2,Dec2022
2022-12-15,Exercise,daily,1,Week 2,Dec2022
2022-12-16,Exercise,daily,0,Week 2,Dec2022
2022-12-17,Exercise,daily,0,Week 2,Dec2022
2022-12-18,Exercise,daily,0,Week 2,Dec2022
2022-12-05,Stretch/Yoga (>20min),daily,0,Week 1,Dec2022
2022-12-06,Stretch/Yoga (>20min),daily,0,Week 1,Dec2022
2022-12-07,Stretch/Yoga (>20min),daily,0,Week 1,Dec2022
2022-12-08,Stretch/Yoga (>20min),daily,0,Week 1,Dec2022
2022-12-09,Stretch/Yoga (>20min),daily,0,Week 1,Dec2022
2022-12-10,Stretch/Yoga (>20min),daily,0,Week 1,Dec2022
2022-12-11,Stretch/Yoga (>20min),daily,0,Week 1,Dec2022
2022-12-12,Stretch/Yoga (>20min),daily,0,Week 2,Dec2022
2022-12-13,Stretch/Yoga (>20min),daily,1,Week 2,Dec2022
2022-12-14,Stretch/Yoga (>20min),daily,1,Week 2,Dec2022
2022-12-15,Stretch/Yoga (>20min),daily,1,Week 2,Dec2022
2022-12-16,Stretch/Yoga (>20min),daily,0,Week 2,Dec2022
2022-12-17,Stretch/Yoga (>20min),daily,0,Week 2,Dec2022
2022-12-18,Stretch/Yoga (>20min),daily,1,Week 2,Dec2022
2022-12-05,Social Media (<limit),daily,1,Week 1,Dec2022
2022-12-06,Social Media (<limit),daily,1,Week 1,Dec2022
2022-12-07,Social Media (<limit),daily,1,Week 1,Dec2022
2022-12-08,Social Media (<limit),daily,1,Week 1,Dec2022
2022-12-09,Social Media (<limit),daily,1,Week 1,Dec2022
2022-12-10,Social Media (<limit),daily,1,Week 1,Dec2022
2022-12-11,Social Media (<limit),daily,1,Week 1,Dec2022
2022-12-12,Social Media (<limit),daily,1,Week 2,Dec2022
2022-12-13,Social Media (<limit),daily,1,Week 2,Dec2022
2022-12-14,Social Media (<limit),daily,1,Week 2,Dec2022
2022-12-15,Social Media (<limit),daily,1,Week 2,Dec2022
2022-12-16,Social Media (<limit),daily,1,Week 2,Dec2022
2022-12-17,Social Media (<limit),daily,1,Week 2,Dec2022
2022-12-18,Social Media (<limit),daily,1,Week 2,Dec2022
2022-12-05,Eat in,daily,1,Week 1,Dec2022
2022-12-06,Eat in,daily,1,Week 1,Dec2022
2022-12-07,Eat in,daily,0,Week 1,Dec2022
2022-12-08,Eat in,daily,1,Week 1,Dec2022
2022-12-09,Eat in,daily,0,Week 1,Dec2022
2022-12-10,Eat in,daily,1,Week 1,Dec2022
2022-12-11,Eat in,daily,1,Week 1,Dec2022
2022-12-12,Eat in,daily,0,Week 2,Dec2022
2022-12-13,Eat in,daily,1,Week 2,Dec2022
2022-12-14,Eat in,daily,1,Week 2,Dec2022
2022-12-15,Eat in,daily,1,Week 2,Dec2022
2022-12-16,Eat in,daily,0,Week 2,Dec2022
2022-12-17,Eat in,daily,1,Week 2,Dec2022
2022-12-18,Eat in,daily,0,Week 2,Dec2022
2022-12-05,Review Budget/Goals,daily,1,Week 1,Dec2022
2022-12-06,Review Budget/Goals,daily,1,Week 1,Dec2022
2022-12-07,Review Budget/Goals,daily,1,Week 1,Dec2022
2022-12-08,Review Budget/Goals,daily,1,Week 1,Dec2022
2022-12-09,Review Budget/Goals,daily,1,Week 1,Dec2022
2022-12-10,Review Budget/Goals,daily,1,Week 1,Dec2022
2022-12-11,Review Budget/Goals,daily,1,Week 1,Dec2022
2022-12-12,Review Budget/Goals,daily,1,Week 2,Dec2022
2022-12-13,Review Budget/Goals,daily,1,Week 2,Dec2022
2022-12-14,Review Budget/Goals,daily,1,Week 2,Dec2022
2022-12-15,Review Budget/Goals,daily,1,Week 2,Dec2022
2022-12-16,Review Budget/Goals,daily,1,Week 2,Dec2022
2022-12-17,Review Budget/Goals,daily,1,Week 2,Dec2022
2022-12-18,Review Budget/Goals,daily,1,Week 2,Dec2022
2022-12-05,(2x)Brush+(1x)Floss,daily,1,Week 1,Dec2022
2022-12-06,(2x)Brush+(1x)Floss,daily,1,Week 1,Dec2022
2022-12-07,(2x)Brush+(1x)Floss,daily,1,Week 1,Dec2022
2022-12-08,(2x)Brush+(1x)Floss,daily,1,Week 1,Dec2022
2022-12-09,(2x)Brush+(1x)Floss,daily,1,Week 1,Dec2022
2022-12-10,(2x)Brush+(1x)Floss,daily,1,Week 1,Dec2022
2022-12-11,(2x)Brush+(1x)Floss,daily,1,Week 1,Dec2022
2022-12-12,(2x)Brush+(1x)Floss,daily,1,Week 2,Dec2022
2022-12-13,(2x)Brush+(1x)Floss,daily,1,Week 2,Dec2022
2022-12-14,(2x)Brush+(1x)Floss,daily,1,Week 2,Dec2022
2022-12-15,(2x)Brush+(1x)Floss,daily,1,Week 2,Dec2022
2022-12-16,(2x)Brush+(1x)Floss,daily,1,Week 2,Dec2022
2022-12-17,(2x)Brush+(1x)Floss,daily,1,Week 2,Dec2022
2022-12-18,(2x)Brush+(1x)Floss,daily,1,Week 2,Dec2022
2022-12-05,Water (>2.25L),daily,1,Week 1,Dec2022
2022-12-06,Water (>2.25L),daily,0,Week 1,Dec2022
2022-12-07,Water (>2.25L),daily,1,Week 1,Dec2022
